	TE.fixed	lower.fixed	upper.fixed	pval.fixed	TE.random	lower.random	upper.random	pval.random	symbol
ENSG00000106366.8	1.12604410177793	1.09762994743735	1.15519380835884	8.72591576129677e-20	1.12604410177793	1.09762994743735	1.15519380835884	8.72591576129677e-20	SERPINE1
ENSG00000118785.12	1.0729993760703	1.0520758177646	1.09433905960649	2.34109574951906e-12	1.0729993760703	1.0520758177646	1.09433905960649	2.34109574951906e-12	SPP1
ENSG00000115414.17	1.10970767621164	1.08110513183857	1.13906695137852	5.57402251419784e-15	1.10991400633177	1.07784258966062	1.14293971426694	3.15258073922557e-12	FN1
ENSG00000095752.5	1.07330745564291	1.05266390278349	1.09435584453171	9.36136344677819e-13	1.07393966346013	1.05225162910918	1.09607471145401	7.23179187625045e-12	IL11
ENSG00000133110.13	1.07583312803004	1.05335202906601	1.09879402842483	1.1687001609619e-11	1.07583312803004	1.05335202906601	1.09879402842483	1.1687001609619e-11	POSTN
ENSG00000134013.14	1.14191241423112	1.10363379986098	1.18151869029329	2.37888478929117e-14	1.14387841285362	1.09706639737369	1.19268790523972	2.87589095574804e-10	LOXL2
ENSG00000117394.18	1.15345464135781	1.11592149722745	1.19225018334663	2.7139531327749e-17	1.16004806562265	1.10336925927829	1.21963839688181	6.29298425111139e-09	SLC2A1
ENSG00000104205.11	0.837134277661496	0.787922731531663	0.889419445322441	8.86898704583658e-09	0.837134277661496	0.787922731531663	0.889419445322441	8.86898704583658e-09	SGK3
ENSG00000117461.13	0.829774975836057	0.791494281976523	0.86990711898049	9.68695941816791e-15	0.83004163627484	0.7773000294771	0.886361883214248	2.67663494208261e-08	PIK3R3
ENSG00000060718.17	1.05203645953888	1.03734290990978	1.06693813745289	1.56249873983128e-12	1.05413850615762	1.03472537629913	1.07391585788553	2.70715995546651e-08	COL11A1
ENSG00000141526.13	1.15277908610701	1.10978247208466	1.19744153002296	2.28617903166445e-13	1.14903319566519	1.09282969690029	1.20812720269719	5.65893959704847e-08	SLC16A3
ENSG00000161638.9	1.17831503522233	1.13375872265631	1.22462239494664	7.23741014482737e-17	1.18618727355124	1.11523684753367	1.26165150572865	5.76783372859845e-08	ITGA5
ENSG00000029559.6	1.0336955053232	1.02220303414579	1.04531718458292	6.25653613314478e-09	1.03428538024174	1.02171398809082	1.04701145354849	6.5601279478748e-08	IBSP
ENSG00000157227.11	1.16845939776376	1.11932620150749	1.21974931202692	1.22081494833392e-12	1.16361233447032	1.10041806695505	1.23043569129876	1.04505567217672e-07	MMP14
ENSG00000085563.13	0.91860371578148	0.894078186422836	0.943802006873332	7.79704586578528e-10	0.918722443509431	0.89011336045246	0.94825104948306	1.50448428244091e-07	ABCB1
ENSG00000103855.16	1.22194154221694	1.14821650754189	1.3004003363373	2.7390623163332e-10	1.22683065956465	1.13629796672954	1.32457639749176	1.72413200687059e-07	CD276
ENSG00000104549.10	1.18011048213858	1.13066364792117	1.23171975380467	3.3714505015986e-14	1.19362124823712	1.11632687512941	1.27626747683378	2.19998765812634e-07	SQLE
ENSG00000130635.14	1.11616475828969	1.08555693066277	1.14763558912314	9.43776384331426e-15	1.1214643089333	1.07373596222514	1.17131421546588	2.38986690816175e-07	COL5A1
ENSG00000137745.10	1.03410150522319	1.02301832408982	1.04530475938081	1.06527655665349e-09	1.03345078296313	1.0206176069819	1.04644532242137	2.45616522146677e-07	MMP13
ENSG00000102962.4	0.934944462116211	0.915572781389704	0.954726008690412	3.03351870072226e-10	0.931446555724597	0.906413437396472	0.957171032970601	3.23629405146739e-07	CCL22
ENSG00000156738.16	0.95383806020896	0.942334428979202	0.965482123038584	2.27275554046188e-14	0.952470112229842	0.934486874171213	0.970799419195389	5.52198785079222e-07	MS4A1
ENSG00000183134.4	0.935923742353301	0.914992151462388	0.957334169588903	9.56440377349835e-09	0.93262897029255	0.907491429574382	0.958462821667508	5.63952415323988e-07	PTGDR2
ENSG00000173578.7	0.950090505495173	0.935851887734986	0.964545758214779	3.0231435039483e-11	0.949096994296059	0.929581398219341	0.969022300045281	8.28774359125081e-07	XCR1
ENSG00000149257.12	1.22751523292108	1.16776111204243	1.29032696115209	8.20853392005971e-16	1.2490594552501	1.14226964886249	1.36583294872915	1.07694136207191e-06	SERPINH1
ENSG00000114812.11	0.914179909550896	0.890378053470446	0.93861804406461	2.62455706512331e-11	0.913406239387117	0.880676205993237	0.947352673404374	1.14526944322696e-06	VIPR1
ENSG00000100079.6	0.929379633895824	0.909042382195098	0.950171874071059	8.7166104751381e-11	0.930706618147895	0.904030057764598	0.958170363501173	1.29998806316769e-06	LGALS2
